dataset,accuracy
50words,0.8242
Adiac,0.8248
ArrowHead,0.8814
Beef,0.8
BeetleFly,0.7
BirdChicken,0.8875
CBF,0.9728
Car,0.8583
ChlorineConcentration,0.8384
CinC_ECG_torso,0.9683
Coffee,1
Computers,0.612
Cricket_X,0.7705
Cricket_Y,0.7686
Cricket_Z,0.7974
DiatomSizeReduction,0.9493
DistalPhalanxOutlineAgeGroup,0.8131
DistalPhalanxOutlineCorrect,0.7808
DistalPhalanxTW,0.7619
ECG200,0.925
ECG5000,0.9397
ECGFiveDays,0.8734
Earthquakes,0.7795
ElectricDevices,0.649
FISH,0.9543
FaceAll,0.7605
FaceFour,0.9375
FacesUCR,0.9078
FordA,0.9395
FordB,0.9231
Gun_Point,0.98
Ham,0.7452
HandOutlines,0.894
Haptics,0.4805
Herring,0.7148
InlineSkate,0.3736
InsectWingbeatSound,0.6361
ItalyPowerDemand,0.9718
LargeKitchenAppliances,0.6993
Lighting2,0.7459
Lighting7,0.7671
MALLAT,0.8904
Meat,0.9208
MedicalImages,0.7592
MiddlePhalanxOutlineAgeGroup,0.7731
MiddlePhalanxOutlineCorrect,0.7017
MiddlePhalanxTW,0.6297
MoteStrain,0.8688
NonInvasiveFatalECG_Thorax1,0.9055
NonInvasiveFatalECG_Thorax2,0.9154
OSULeaf,0.8461
OliveOil,0.75
PhalangesOutlinesCorrect,0.8164
Phoneme,0.3701
Plane,0.9976
ProximalPhalanxOutlineAgeGroup,0.8524
ProximalPhalanxOutlineCorrect,0.8497
ProximalPhalanxTW,0.8006
RefrigerationDevices,0.554
ScreenType,0.4093
ShapeletSim,0.5319
ShapesAll,0.8979
SmallKitchenAppliances,0.7313
SonyAIBORobotSurface,0.8124
SonyAIBORobotSurfaceII,0.8518
StarLightCurves,0.9784
Strawberry,0.9698
SwedishLeaf,0.9628
Symbols,0.9455
ToeSegmentation1,0.8969
ToeSegmentation2,0.8808
Trace,1
TwoLeadECG,0.8624
Two_Patterns,0.998
UWaveGestureLibraryAll,0.964
Wine,0.838
WordsSynonyms,0.7429
Worms,0.5718
WormsTwoClass,0.7624
synthetic_control,0.9933
uWaveGestureLibrary_X,0.8497
uWaveGestureLibrary_Y,0.7792
uWaveGestureLibrary_Z,0.7823
wafer,0.9963
yoga,0.8819
