dataset,accuracy
50words,0.8374
Adiac,0.8152
ArrowHead,0.8914
Beef,0.775
BeetleFly,0.675
BirdChicken,0.875
CBF,0.9778
Car,0.875
ChlorineConcentration,0.8585
CinC_ECG_torso,0.981
Coffee,1
Computers,0.626
Cricket_X,0.7769
Cricket_Y,0.775
Cricket_Z,0.8071
DiatomSizeReduction,0.9608
DistalPhalanxOutlineAgeGroup,0.7919
DistalPhalanxOutlineCorrect,0.8038
DistalPhalanxTW,0.7719
ECG200,0.9175
ECG5000,0.9388
ECGFiveDays,0.9042
Earthquakes,0.7648
ElectricDevices,0.6278
FISH,0.9671
FaceAll,0.7719
FaceFour,0.9631
FacesUCR,0.9213
FordA,0.9374
FordB,0.9163
Gun_Point,0.9833
Ham,0.7571
HandOutlines,0.8978
Haptics,0.4748
Herring,0.7109
InlineSkate,0.3759
InsectWingbeatSound,0.6259
ItalyPowerDemand,0.9604
LargeKitchenAppliances,0.7093
Lighting2,0.75
Lighting7,0.7671
MALLAT,0.8538
Meat,0.9125
MedicalImages,0.7283
MiddlePhalanxOutlineAgeGroup,0.77
MiddlePhalanxOutlineCorrect,0.7492
MiddlePhalanxTW,0.6259
MoteStrain,0.87
NonInvasiveFatalECG_Thorax1,0.9052
NonInvasiveFatalECG_Thorax2,0.9177
OSULeaf,0.8647
OliveOil,0.55
PhalangesOutlinesCorrect,0.7955
Phoneme,0.3608
Plane,1
ProximalPhalanxOutlineAgeGroup,0.8463
ProximalPhalanxOutlineCorrect,0.8668
ProximalPhalanxTW,0.78
RefrigerationDevices,0.542
ScreenType,0.4113
ShapeletSim,0.5375
ShapesAll,0.9025
SmallKitchenAppliances,0.7247
SonyAIBORobotSurface,0.8149
SonyAIBORobotSurfaceII,0.8699
StarLightCurves,0.9765
Strawberry,0.9731
SwedishLeaf,0.956
Symbols,0.9492
ToeSegmentation1,0.8936
ToeSegmentation2,0.8981
Trace,1
TwoLeadECG,0.8984
Two_Patterns,0.9993
UWaveGestureLibraryAll,0.9652
Wine,0.6852
WordsSynonyms,0.7586
Worms,0.5594
WormsTwoClass,0.7624
synthetic_control,0.995
uWaveGestureLibrary_X,0.8457
uWaveGestureLibrary_Y,0.7746
uWaveGestureLibrary_Z,0.7796
wafer,0.996
yoga,0.8931
